code,name,industry,area,pe,totals,outstanding,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
600824,益民集团,百货,上海,38.28,87835.59,87835.59,280963.44,118286.51,16900.9,13535.65,0.15,0.179,2.02,4.52,19940204
002114,罗平锌电,铅锌,云南,130.52,8625.33,27184.08,151605.48,29078.15,50163.92,70135.68,2.58,0.104,2.93,6.19,20070215
002050,三花股份,机械基件,浙江,25.05,75871.92,77315.85,777327.06,523206.25,174344.23,90764.28,1.17,0.519,4.44,3.91,20050607
002075,沙钢股份,特钢,江苏,242.63,157626.48,157626.56,762753.88,337548.81,307971.88,2190.45,0.01,0.033,1.52,7.04,20061025
300250,初灵信息,通信设备,浙江,191.22,3168.32,9701.49,45868.6,37279.6,2464.11,17644.89,1.82,0.211,4.82,11.16,20110803
300413,快乐购,百货,湖南,88.12,7000,40100,146510.8,130632.31,0,0,0,0.408,2.94,12.23,20150121
300270,中威电子,通信设备,浙江,109.39,6343.12,12400,62627.92,46578.31,5726.66,27982.65,2.26,0.2,4.31,6.51,20111012
300286,安科瑞,电器仪表,上海,52.03,8271.79,14300,62129.65,46328.1,9146.67,17516.75,1.22,0.51,3.43,7.57,20120113
300287,飞利信,软件服务,北京,202.65,15947.01,27440.84,104685.06,94730.61,3476.33,9467.82,0.35,0.174,2.28,20.6,20120201
000543,皖能电力,火力发电,安徽,14.9,102515.75,105317.4,2138171.25,287389.22,1408101.13,253236.84,2.4,0.674,6.96,1.92,19931220
300291,华录百纳,影视音像,北京,280.19,23430,39363.26,117764.26,109598.57,313.3,41654.71,1.06,0.136,4.05,12.54,20120209
300311,任子行,软件服务,广东,117.27,3792,11641.16,57569.3,44333.35,11421.19,21326.9,1.83,0.23,4.02,8.51,20120425
300229,拓尔思,软件服务,北京,203.42,20488.22,23294.34,162201.59,80389.86,11901.67,78288.65,3.36,0.17,5.82,7.05,20110615
300231,银信科技,软件服务,北京,88.22,17070.48,22344.05,45296.73,37441.53,7380.91,253.96,0.01,0.184,1.78,12.2,20110615
002449,国星光电,半导体,广东,44.05,29364.3,43000,356793.03,206242.42,93829.35,125120.63,2.91,0.234,5.17,2.65,20100716
002059,云南旅游,旅游景点,云南,376,23346.71,36539.62,246440.42,136299.38,52851.88,52535.1,1.44,0.032,3.43,4.66,20060810
300085,银之杰,软件服务,深圳,5251.64,12456.71,26272.22,52990.3,40333.09,558.1,19624.75,0.75,0.013,2.14,42.08,20100526
300166,东方国信,软件服务,北京,209.31,15365.26,27901.77,126540.4,68377.78,1797.67,50071.64,1.79,0.182,4.11,12.37,20110125
600518,康美药业,中成药,广东,31.34,219871.45,219871.45,2358714.75,1515932.38,387925.78,475464.94,2.16,0.681,5.89,4.83,20010319
601015,陕西黑猫,焦炭加工,陕西,56.03,12000,62000,921189.19,369225.09,445214.16,34739.21,0.56,0.214,4.16,3.84,20141105
000909,数源科技,综合类,浙江,104.19,29400,29400,494193.94,458318.06,2721.35,22302.36,0.76,0.086,2.42,4.97,19990507
300188,美亚柏科,软件服务,福建,226.63,12167.95,22158.16,107801.01,70074.71,23037.46,38289.45,1.73,0.128,3.84,10.04,20110316
002290,禾盛新材,家用电器,江苏,70.61,13391.49,21067.19,154720.23,101777.9,18798.36,44511,2.11,0.143,4.71,2.86,20090903
002735,王子新材,塑料,深圳,122.96,2000,8000,41200.78,32046.55,0,0,0,0.266,4.63,9.41,20141203
600776,东方通信,通信设备,浙江,105.2,95600,125600,342895.09,283125.94,21346.31,87563.88,0.7,0.078,2.2,4.96,19961126
300199,翰宇药业,化学制药,深圳,93.77,19945.86,44500.82,169746.31,99066.15,34978.18,41727.17,0.94,0.43,3.24,11.16,20110407
300245,天玑科技,软件服务,上海,106.32,10569.08,18196.65,73268.46,61328.26,9257.5,22860.5,1.26,0.228,3.51,9.22,20110719
300028,金亚科技,通信设备,四川,263,20907.03,26631,132395.27,93156.25,6489.25,32881.21,1.23,0.08,2.38,11.86,20091030
300093,金刚玻璃,玻璃,广东,142.39,21526.34,21600,159592.48,102211.78,51008.64,38683.3,1.79,0.08,4.04,3.75,20100708
603636,南威软件,软件服务,福建,79.83,2500,10000,65077.53,47372.8,0,0,0,0.433,5.48,8.42,20141230
002154,报 喜 鸟,服饰,浙江,45.73,53315.05,58600.94,436880.31,214367.63,100364.17,63979.01,1.09,0.217,4.64,2.85,20070816
600176,中国玻纤,玻璃,浙江,42.25,87262.95,87262.95,1964408.25,599573.81,1196701.13,123862.6,1.42,0.33,4.44,4.19,19990422
300220,金运激光,元器件,湖北,376.53,6677.77,12600,42852.71,31197.74,8801.99,8281.74,0.66,0.077,2.35,16.47,20110525
